,Unnamed: 0,drug_name,drug_link,drug_id
98,98,"Acetaminophen, aspirin, and caffeine",/mtm/acetaminophen-aspirin-and-caffeine.html,14-0
99,99,"Acetaminophen, Aspirin, and Caffeine Powder Packet",/cdi/acetaminophen-aspirin-and-caffeine-powder-packet.html,14-0
100,100,"Acetaminophen, Aspirin, Caffeine, and Salicylamide Tablets",/cdi/acetaminophen-aspirin-caffeine-and-salicylamide-tablets.html,15-0
101,101,"Acetaminophen, Aspirin, and Caffeine Tablets",/cdi/acetaminophen-aspirin-and-caffeine-tablets.html,14-0
102,102,Acetaminophen Aspirin Codeine,/pro/acetaminophen-aspirin-codeine.html,0-0
103,103,Acetaminophen and benzhydrocodone,/mtm/acetaminophen-and-benzhydrocodone.html,3894-0
104,104,Acetaminophen and butalbital,/mtm/acetaminophen-and-butalbital.html,11-0
105,105,"Acetaminophen, butalbital, and caffeine",/mtm/acetaminophen-butalbital-and-caffeine.html,21-0
106,106,"Acetaminophen, butalbital, caffeine, and codeine",/mtm/acetaminophen-butalbital-caffeine-and-codeine.html,22-0
107,107,Acetaminophen and caffeine,/mtm/acetaminophen-and-caffeine.html,23-0
108,108,"Acetaminophen, caffeine, and dihydrocodeine",/mtm/acetaminophen-caffeine-and-dihydrocodeine.html,26-0
109,109,"Acetaminophen, Caffeine, and Isometheptene Mucate",/cdi/acetaminophen-caffeine-and-isometheptene-mucate.html,28-0
110,110,"Acetaminophen, caffeine, and magnesium salicylate",/mtm/acetaminophen-caffeine-and-magnesium-salicylate.html,1-10727
111,111,"Acetaminophen, Caffeine, and Pyrilamine",/cdi/acetaminophen-caffeine-and-pyrilamine.html,34-0
112,112,Acetaminophen Capsules and Tablets,/cdi/acetaminophen-capsules-and-tablets.html,11-0
113,113,Acetaminophen Chewable Tablets,/cdi/acetaminophen-chewable-tablets.html,11-0
114,114,Acetaminophen and chlorpheniramine,/mtm/acetaminophen-and-chlorpheniramine.html,35-0
115,115,"Acetaminophen, chlorpheniramine, and dextromethorphan",/mtm/acetaminophen-chlorpheniramine-and-dextromethorphan.html,3321-0
116,116,"Acetaminophen, Chlorpheniramine, Dextromethorphan, and Guaifenesin",/cdi/acetaminophen-chlorpheniramine-dextromethorphan-and-guaifenesin.html,3321-0
117,117,"Acetaminophen, Chlorpheniramine, and Dextromethorphan Liquid and Syrup",/cdi/acetaminophen-chlorpheniramine-and-dextromethorphan-liquid-and-syrup.html,3321-0
118,118,Acetaminophen/Chlorpheniramine/Dextromethorphan/Phenylephrine Caps & Tabs,/cdi/acetaminophen-chlorpheniramine-dextromethorphan-phenylephrine-caps-tabs.html,38-0
119,119,"Acetaminophen, Chlorpheniramine, Dextromethorphan, Phenylephrine Liquid",/cdi/acetaminophen-chlorpheniramine-dextromethorphan-phenylephrine-liquid.html,38-0
120,120,"Acetaminophen, Chlorpheniramine, Dextromethorphan, Phenylephrine Suspension",/cdi/acetaminophen-chlorpheniramine-dextromethorphan-phenylephrine-suspension.html,38-0
121,121,"Acetaminophen, chlorpheniramine, dextromethorphan, and pseudoephedrine",/mtm/acetaminophen-chlorpheniramine-dextromethorphan-and-pseudoephedrine.html,233-109
122,122,Acetaminophen/Chlorpheniramine/Dextromethorphan/Pseudoephedrine Caps & Tabs,/cdi/acetaminophen-chlorpheniramine-dextromethorphan-pseudoephedrine-caps-tabs.html,233-109
123,123,Acetaminophen/Chlorpheniramine/Dextromethorphan/Pseudoephedrine Liq & Syrup,/cdi/acetaminophen-chlorpheniramine-dextromethorphan-pseudoephedrine-liq-syrup.html,233-109
124,124,Acetaminophen/Chlorpheniramine/Dextromethorphan/Pseudoephedrine Powder Pkt,/cdi/acetaminophen-chlorpheniramine-dextromethorphan-pseudoephedrine-powder-pkt.html,233-109
125,125,"Acetaminophen, Chlorpheniramine, and Dextromethorphan Suspension",/cdi/acetaminophen-chlorpheniramine-and-dextromethorphan-suspension.html,3321-0
126,126,"Acetaminophen, chlorpheniramine, and phenylephrine",/mtm/acetaminophen-chlorpheniramine-and-phenylephrine.html,35-0
127,127,"Acetaminophen, Chlorpheniramine, and Phenylephrine Effervescent Tablets",/cdi/acetaminophen-chlorpheniramine-and-phenylephrine-effervescent-tablets.html,35-0
128,128,"Acetaminophen, Chlorpheniramine, and Phenylephrine Tablets",/cdi/acetaminophen-chlorpheniramine-and-phenylephrine-tablets.html,35-0
129,129,"Acetaminophen, chlorpheniramine, and pseudoephedrine",/mtm/acetaminophen-chlorpheniramine-and-pseudoephedrine.html,46-0
130,130,"Acetaminophen, Chlorpheniramine, and Pseudoephedrine Capsules and Tablets",/cdi/acetaminophen-chlorpheniramine-and-pseudoephedrine-capsules-and-tablets.html,46-0
131,131,"Acetaminophen, Chlorpheniramine, and Pseudoephedrine Liquid",/cdi/acetaminophen-chlorpheniramine-and-pseudoephedrine-liquid.html,46-0
132,132,Acetaminophen and codeine,/mtm/acetaminophen-and-codeine.html,48-0
133,133,Acetaminophen and Codeine Oral Solution,/pro/acetaminophen-and-codeine-oral-solution.html,48-0
134,134,Acetaminophen and Codeine Solution,/cdi/acetaminophen-and-codeine-solution.html,48-0
135,135,Acetaminophen and Codeine Suspension,/cdi/acetaminophen-and-codeine-suspension.html,48-0
136,136,Acetaminophen and Codeine Tablets,/cdi/acetaminophen-and-codeine-tablets.html,48-0
137,137,Acetaminophen Controlled-Release Tablets,/cdi/acetaminophen-controlled-release-tablets.html,11-0
138,138,"Acetaminophen, Dexbrompheniramine, and Phenylephrine Tablets",/cdi/acetaminophen-dexbrompheniramine-and-phenylephrine-tablets.html,0-0
139,139,Acetaminophen/Dexbrompheniramine/Pseudoephedrine Controlled-Release Tablets,/cdi/acetaminophen-dexbrompheniramine-pseudoephedrine-controlled-release-tablets.html,3247-0
140,140,Acetaminophen and dextromethorphan,/mtm/acetaminophen-and-dextromethorphan.html,50-0
141,141,"Acetaminophen, dextromethorphan, and diphenhydramine",/mtm/acetaminophen-dextromethorphan-and-diphenhydramine.html,51-0
142,142,"Acetaminophen, dextromethorphan, and doxylamine",/mtm/acetaminophen-dextromethorphan-and-doxylamine.html,53-0
143,143,"Acetaminophen, Dextromethorphan, and Doxylamine Capsules",/cdi/acetaminophen-dextromethorphan-and-doxylamine-capsules.html,53-0
144,144,"Acetaminophen, Dextromethorphan, and Doxylamine Liquid",/cdi/acetaminophen-dextromethorphan-and-doxylamine-liquid.html,53-0
145,145,"Acetaminophen, dextromethorphan, doxylamine, and phenylephrine",/mtm/acetaminophen-dextromethorphan-doxylamine-and-phenylephrine.html,54-0
146,146,"Acetaminophen, dextromethorphan, doxylamine, and pseudoephedrine",/mtm/acetaminophen-dextromethorphan-doxylamine-and-pseudoephedrine.html,55-0
147,147,"Acetaminophen, Dextromethorphan, Doxylamine, and Pseudoephedrine Capsules",/cdi/acetaminophen-dextromethorphan-doxylamine-and-pseudoephedrine-capsules.html,55-0
148,148,"Acetaminophen, Dextromethorphan, Doxylamine, and Pseudoephedrine Liquid",/cdi/acetaminophen-dextromethorphan-doxylamine-and-pseudoephedrine-liquid.html,55-0
149,149,"Acetaminophen, dextromethorphan, guaifenesin, and phenylephrine",/mtm/acetaminophen-dextromethorphan-guaifenesin-and-phenylephrine.html,50-0
150,150,"Acetaminophen, Dextromethorphan, Guaifenesin, Phenylephrine Caps & Tabs",/cdi/acetaminophen-dextromethorphan-guaifenesin-phenylephrine-caps-tabs.html,50-0
151,151,Acetaminophen/Dextromethorphan/Guaifenesin/Phenylephrine/Diphenhydramine,/cdi/acetaminophen-dextromethorphan-guaifenesin-phenylephrine-diphenhydramine.html,0-0
152,152,"Acetaminophen, Dextromethorphan, Guaifenesin, and Phenylephrine Liquid",/cdi/acetaminophen-dextromethorphan-guaifenesin-and-phenylephrine-liquid.html,50-0
153,153,"Acetaminophen, dextromethorphan, guaifenesin, and pseudoephedrine",/mtm/acetaminophen-dextromethorphan-guaifenesin-and-pseudoephedrine.html,3321-0
154,154,"Acetaminophen, Dextromethorphan, Guaifenesin, Pseudoephedrine Caps & Tabs",/cdi/acetaminophen-dextromethorphan-guaifenesin-pseudoephedrine-caps-tabs.html,3321-0
155,155,"Acetaminophen, Dextromethorphan, Guaifenesin, and Pseudoephedrine Liquid",/cdi/acetaminophen-dextromethorphan-guaifenesin-and-pseudoephedrine-liquid.html,3321-0
156,156,Acetaminophen/Dextromethorphan/Guaifenesin/Pseudoephedrine Powder Packs,/cdi/acetaminophen-dextromethorphan-guaifenesin-pseudoephedrine-powder-packs.html,3321-0
157,157,Acetaminophen and Dextromethorphan Liquid,/cdi/acetaminophen-and-dextromethorphan-liquid.html,50-0
158,158,"Acetaminophen, dextromethorphan, and phenylephrine",/mtm/acetaminophen-dextromethorphan-and-phenylephrine.html,50-0
159,159,"Acetaminophen, Dextromethorphan, and Phenylephrine Capsules and Tablets",/cdi/acetaminophen-dextromethorphan-and-phenylephrine-capsules-and-tablets.html,50-0
160,160,"Acetaminophen, Dextromethorphan, Phenylephrine, and Diphenhydramine",/cdi/acetaminophen-dextromethorphan-phenylephrine-and-diphenhydramine.html,3321-0
161,161,"Acetaminophen, Dextromethorphan, and Phenylephrine Liquid",/cdi/acetaminophen-dextromethorphan-and-phenylephrine-liquid.html,50-0
162,162,"Acetaminophen, Dextromethorphan, and Phenylephrine Oral Drops",/cdi/acetaminophen-dextromethorphan-and-phenylephrine-oral-drops.html,50-0
163,163,"Acetaminophen, Dextromethorphan, and Phenylephrine Pods",/cdi/acetaminophen-dextromethorphan-and-phenylephrine-pods.html,50-0
164,164,"Acetaminophen, Dextromethorphan, and Phenylephrine Powder Packets",/cdi/acetaminophen-dextromethorphan-and-phenylephrine-powder-packets.html,50-0
165,165,"Acetaminophen, dextromethorphan, and pseudoephedrine",/mtm/acetaminophen-dextromethorphan-and-pseudoephedrine.html,3321-0
166,166,"Acetaminophen, Dextromethorphan, and Pseudoephedrine Capsules And Tablets",/cdi/acetaminophen-dextromethorphan-and-pseudoephedrine-capsules-and-tablets.html,3321-0
167,167,"Acetaminophen, Dextromethorphan, and Pseudoephedrine Liquid",/cdi/acetaminophen-dextromethorphan-and-pseudoephedrine-liquid.html,0-0
168,168,"Acetaminophen, dextromethorphan, pseudoephedrine, and pyrilamine",/mtm/acetaminophen-dextromethorphan-pseudoephedrine-and-pyrilamine.html,3321-0
169,169,Acetaminophen and diphenhydramine,/mtm/acetaminophen-and-diphenhydramine.html,11-0
170,170,"Acetaminophen, diphenhydramine, and phenylephrine",/mtm/acetaminophen-diphenhydramine-and-phenylephrine.html,65-0
171,171,"Acetaminophen, Diphenhydramine, and Phenylephrine Liquid",/cdi/acetaminophen-diphenhydramine-and-phenylephrine-liquid.html,65-0
172,172,"Acetaminophen, Diphenhydramine, and Phenylephrine Pods",/cdi/acetaminophen-diphenhydramine-and-phenylephrine-pods.html,65-0
173,173,"Acetaminophen, Diphenhydramine, and Phenylephrine Powder Packet",/cdi/acetaminophen-diphenhydramine-and-phenylephrine-powder-packet.html,65-0
174,174,"Acetaminophen, Diphenhydramine, and Phenylephrine Suspension",/cdi/acetaminophen-diphenhydramine-and-phenylephrine-suspension.html,65-0
175,175,"Acetaminophen, Diphenhydramine, and Phenylephrine Tablets",/cdi/acetaminophen-diphenhydramine-and-phenylephrine-tablets.html,65-0
176,176,"Acetaminophen, Diphenhydramine, and Pseudoephedrine Tablets",/cdi/acetaminophen-diphenhydramine-and-pseudoephedrine-tablets.html,3321-0
177,177,Acetaminophen and Diphenhydramine Tablets,/cdi/acetaminophen-and-diphenhydramine-tablets.html,11-0
178,178,Acetaminophen and Diphenhydramine Tablets (Sleep),/cdi/acetaminophen-and-diphenhydramine-tablets-sleep.html,11-0
179,179,Acetaminophen Dispersible Tablets,/cdi/acetaminophen-dispersible-tablets.html,11-0
180,180,"Acetaminophen, Doxylamine, Dextromethorphan, and Phenylephrine Liquid",/cdi/acetaminophen-doxylamine-dextromethorphan-and-phenylephrine-liquid.html,54-0
181,181,"Acetaminophen, doxylamine, and phenylephrine",/mtm/acetaminophen-doxylamine-and-phenylephrine.html,3247-0
182,182,Acetaminophen Drops,/cdi/acetaminophen-drops.html,11-0
183,183,"Acetaminophen, Guaifenesin, and Phenylephrine",/ppa/acetaminophen-guaifenesin-and-phenylephrine.html,50-0
184,184,"Acetaminophen, Guaifenesin, and Phenylephrine Liquid",/cdi/acetaminophen-guaifenesin-and-phenylephrine-liquid.html,50-0
185,185,Acetaminophen and Hydrocodone,/acetaminophen_hydrocodone.html,11-0
186,186,Acetaminophen injection,/mtm/acetaminophen-injection.html,11-0
187,187,Acetaminophen Intravenous,/cons/acetaminophen-intravenous.html,11-0
188,188,"Acetaminophen, Isometheptene, and Dichloralphenazone",/cdi/acetaminophen-isometheptene-and-dichloralphenazone.html,11-0
189,189,Acetaminophen Liquid,/cdi/acetaminophen-liquid.html,11-0
190,190,"Acetaminophen, magnesium salicylate, and pamabrom",/mtm/acetaminophen-magnesium-salicylate-and-pamabrom.html,7-0
191,191,"Acetaminophen Oral, Rectal",/cons/acetaminophen-oral-rectal.html,11-0
192,192,Acetaminophen and oxycodone,/mtm/acetaminophen-and-oxycodone.html,11-0
193,193,Acetaminophen and Pamabrom,/cdi/acetaminophen-and-pamabrom.html,73-0
194,194,"Acetaminophen, pamabrom, and pyrilamine",/mtm/acetaminophen-pamabrom-and-pyrilamine.html,75-0
195,195,"Acetaminophen, Pamabrom, and Pyrilamine Tablets",/cdi/acetaminophen-pamabrom-and-pyrilamine-tablets.html,75-0
196,196,"Acetaminophen, pheniramine, and phenylephrine",/mtm/acetaminophen-pheniramine-and-phenylephrine.html,42-0
197,197,"Acetaminophen, Pheniramine, and Phenylephrine Powder Packets",/cdi/acetaminophen-pheniramine-and-phenylephrine-powder-packets.html,42-0
198,198,Acetaminophen and phenylephrine,/mtm/acetaminophen-and-phenylephrine.html,78-0
199,199,Acetaminophen and Phenylephrine Capsules,/cdi/acetaminophen-and-phenylephrine-capsules.html,78-0
200,200,Acetaminophen and Phenylephrine Powder Packet,/cdi/acetaminophen-and-phenylephrine-powder-packet.html,78-0
201,201,Acetaminophen and Phenylephrine Tablets,/cdi/acetaminophen-and-phenylephrine-tablets.html,78-0
202,202,Acetaminophen and phenyltoloxamine,/mtm/acetaminophen-and-phenyltoloxamine.html,3247-0
203,203,Acetaminophen and pseudoephedrine,/mtm/acetaminophen-and-pseudoephedrine.html,11-0
204,204,Acetaminophen and pyrilamine,/mtm/acetaminophen-and-pyrilamine.html,3247-0
205,205,Acetaminophen rectal,/mtm/acetaminophen-rectal.html,11-0
206,206,"Acetaminophen, Salicylamide, and Phenyltoloxamine",/cdi/acetaminophen-salicylamide-and-phenyltoloxamine.html,3247-0
207,207,Acetaminophen Suppositories,/cdi/acetaminophen-suppositories.html,11-0
208,208,Acetaminophen Suspension,/cdi/acetaminophen-suspension.html,11-0
209,209,Acetaminophen Suspension Drops,/cdi/acetaminophen-suspension-drops.html,11-0
210,210,Acetaminophen Tablet,/pro/acetaminophen-tablet.html,11-0
211,211,Acetaminophen and tramadol,/mtm/acetaminophen-and-tramadol.html,11-0
212,212,Acetasol HC,/cdi/acetasol-hc.html,0-0
213,213,Acetasol HC otic,/mtm/acetasol-hc-otic.html,0-0
214,214,Acetazolamide,/mtm/acetazolamide.html,86-0
215,215,Acetazolamide Capsules,/pro/acetazolamide-capsules.html,86-0
216,216,Acetazolamide Injection Solution,/cdi/acetazolamide-injection-solution.html,86-0
217,217,Acetazolamide Sodium,/monograph/acetazolamide-sodium.html,86-0
218,218,Acetazolamide Sustained-Release Capsules,/cdi/acetazolamide-sustained-release-capsules.html,86-0
219,219,Acetazolamide Tablets,/cdi/acetazolamide-tablets.html,86-0
220,220,Acetic Acid,/pro/acetic-acid.html,0-0
221,221,Acetic acid and aluminum acetate otic,/mtm/acetic-acid-and-aluminum-acetate-otic.html,0-0
222,222,Acetic Acid and Aluminum Acetate Otic Solution,/cdi/acetic-acid-and-aluminum-acetate-otic-solution.html,0-0
223,223,Acetic acid and hydrocortisone otic,/mtm/acetic-acid-and-hydrocortisone-otic.html,0-0
224,224,Acetic acid irrigant,/mtm/acetic-acid-irrigant.html,0-0
225,225,Acetic Acid Irrigation,/pro/acetic-acid-irrigation.html,0-0
226,226,Acetic Acid Irrigation Solution,/cdi/acetic-acid-irrigation-solution.html,0-0
227,227,Acetic acid otic,/mtm/acetic-acid-otic.html,0-0
228,228,Acetic Acid/Oxyquinoline,/cdi/acetic-acid-oxyquinoline.html,0-0
229,229,"Acetic Acid, Propylene Glycol Diacetate, and Hydrocortisone",/cdi/acetic-acid-propylene-glycol-diacetate-and-hydrocortisone.html,0-0
230,230,Acetic acid vaginal,/mtm/acetic-acid-vaginal.html,0-0
231,231,Acetohydroxamic acid,/mtm/acetohydroxamic-acid.html,94-0
232,232,"Acetone, isopropyl alcohol, and polysorbate Topical",/cons/acetone-isopropyl-alcohol-and-polysorbate-topical.html,0-0
233,233,Acetoxyl 10 Topical,/cons/acetoxyl-10-topical.html,354-15137
234,234,Acetoxyl 20 Topical,/cons/acetoxyl-20-topical.html,354-15137
235,235,Acetoxyl 2.5 Topical,/cons/acetoxyl-2-5-topical.html,354-15137
236,236,Acetoxyl 5 Topical,/cons/acetoxyl-5-topical.html,354-15137
237,237,Acetylcholine,/cdi/acetylcholine.html,1-10727
238,238,Acetylcysteine,/cons/acetylcysteine.html,97-0
239,239,Acetylcysteine Effervescent Tablets,/cdi/acetylcysteine-effervescent-tablets.html,97-0
240,240,Acetylcysteine inhalation,/mtm/acetylcysteine-inhalation.html,97-0
241,241,"Acetylcysteine Inhalation, oral/nebulization",/cons/acetylcysteine-inhalation-oral-nebulization.html,97-0
242,242,Acetylcysteine Injection,/cdi/acetylcysteine-injection.html,97-0
243,243,Acetylcysteine Intravenous,/cons/acetylcysteine-intravenous.html,97-0
244,244,"Acetylcysteine oral, effervescent",/mtm/acetylcysteine-oral-effervescent.html,97-0
245,245,Acetylcysteine Solution,/cdi/acetylcysteine-solution.html,97-0
246,246,Acetyl-L-Carnitine,/npc/acetyl-l-carnitine.html,0-0
247,247,Achromycin V,/pro/achromycin-v.html,2173-11259
248,248,Acid Controller Complete Dual Action,/pro/acid-controller-complete-dual-action.html,81-0
249,249,Acid Controller Original Strength,/pro/acid-controller-original-strength.html,1066-14877
250,250,Acid Gone,/cdi/acid-gone.html,11-0
251,251,Acidic Vaginal Jelly vaginal,/mtm/acidic-vaginal-jelly-vaginal.html,0-0
252,252,Acid Jelly vaginal,/mtm/acid-jelly-vaginal.html,0-0
253,253,Acidophilus,/acidophilus.html,0-0
254,254,Acid Reducer,/pro/acid-reducer.html,1991-18396
255,255,Acid Relief,/pro/acid-relief.html,11-0
256,256,Aci-Jel vaginal,/mtm/aci-jel-vaginal.html,0-0
257,257,Aciphex,/aciphex.html,1983-1279
258,258,Aciphex (Rabeprazole Delayed-Release Tablets),/cdi/aciphex-rabeprazole-delayed-release-tablets.html,1983-1279
259,259,Aciphex (Rabeprazole Sprinkle Capsules),/cdi/aciphex-rabeprazole-sprinkle-capsules.html,1983-1279
260,260,AcipHex Sprinkle,/mtm/aciphex-sprinkle.html,3871-0
261,261,Acitretin,/mtm/acitretin.html,243-3224
262,262,Acitretin Capsules,/pro/acitretin-capsules.html,243-3224
263,263,Ackee,/npp/ackee.html,0-0
264,264,Aclaro,/mtm/aclaro.html,0-0
265,265,Aclaro Emulsion,/pro/aclaro-emulsion.html,0-0
266,266,Aclaro PD Emulsion,/pro/aclaro-pd-emulsion.html,0-0
267,267,Aclasta,/aclasta.html,2331-10723
268,268,Aclidinium,/mtm/aclidinium.html,243-3224
269,269,Aclidinium Bromide,/monograph/aclidinium-bromide.html,243-3224
270,270,Aclidinium and Formoterol,/cdi/aclidinium-and-formoterol.html,0-0
271,271,Aclidinium Inhalation,/cons/aclidinium-inhalation.html,243-3224
272,272,Aclovate,/mtm/aclovate.html,111-1639
273,273,Acne 10 Gel Topical,/cons/acne-10-gel-topical.html,354-5255
274,274,Acne-Aid Gel Topical,/cons/acne-aid-gel-topical.html,125-0
275,275,Acne-Clear,/mtm/acne-clear.html,354-5266
276,276,AcneFree Severe Clearing System,/cdi/acnefree-severe-clearing-system.html,354-0
277,277,Acne Topical,/cons/acne-topical.html,354-0
278,278,Acne Treatment,/cdi/acne-treatment.html,354-1596
279,279,Acnevir,/mtm/acnevir.html,2037-16338
280,280,Acne Wash Topical,/cons/acne-wash-topical.html,354-0
281,281,Acnex Topical,/cons/acnex-topical.html,2037-15138
282,282,Acnomel Acne Mask Topical,/cons/acnomel-acne-mask-topical.html,2037-15139
283,283,Acnomel Bp 5 Topical,/cons/acnomel-bp-5-topical.html,354-15141
284,284,Acnomel Skin Tone Topical,/cons/acnomel-skin-tone-topical.html,2004-10121
285,285,Acnomel Vanishing Topical,/cons/acnomel-vanishing-topical.html,2004-10121
286,286,Acomplia,/acomplia.html,0-0
287,287,Aconite,/npp/aconite.html,0-0
